Date,Type_of_Aircraft,Operator,Place,Fatality,Detail link,References
1956 May 15,Douglas C-47 Skytrain (DC-3),Indian Airlines,"Kathmandu, Bagmati",15,,[1]
1958 March 24,Douglas C-47 Skytrain (DC-3),Indian Airlines,"Kathmandu, Bagmati",20,,[2]
1992 September 28,Airbus A300,PIA,"Kathmandu, Bagmati",167,Pakistan International Airlines Flight 268,[1]
1992 July 31,Airbus A310,Thai,"Kathmandu, Bagmati",113,Thai Airways International Flight 311,[1]
1999 July 7,Boeing 727-200,Hinduja Cargo,Kathmandu Bagmati,5,Lufthansa Cargo Flight 8533,[1]
2015 March 4,Airbus A330-300,Turkish Airlines,Kathmandu Bagmati,0,,[1]
2018 March 12,Bombardier Q400,Us-Bangla Airlines,Kathmandu Bagmati,51,US-Bangla Airlines Flight 211,
