Date,Type of Aircraft,Operator,Place,Fatality,Type
2018-03-12,Bombardier Q400,Us-Bangla Airlines,kathmandu bagmati,51.0,foreign
1979-12-27,Allutte-III,VVIP,langtang,6.0,heli
1993-04-27,Bell-206,Himalayan Helicopter,langtang,0.0,heli
1996-01-24,MI-17,Nepal Airways,sotanf,0.0,heli
1999-01-17,AS-350,Karnali Airways,thupten choling,1.0,heli
1997-12-13,MI-17,Gorkha Airlines,kalikot,0.0,heli
1998-01-04,Bell-206,VVIP Flight,dipayal,0.0,heli
1998-10-24,AS-350B,Asian Airlines,mul khark,3.0,heli
1999-04-30,AS-350BA,Karnali Air,lisunkhu sindhupalchowk,0.0,heli
1999-05-31,AS-350B2,Manakamna Airways,ramechhap,0.0,heli
2001-09-11,MI-17,Air Ananya,mimi,0.0,heli
2001-11-12,AS-350B,Fishtail Air,rara lake mugu,4.0,heli
2002-05-12,AS 350B2,Karnali Air,makalu base camp,0.0,heli
2002-09-30,MI-17 (MI8- MTV),Asian Airlines,solukhumbu,0.0,heli
2003-05-28,MI-17 IV,Simrik Air,everest base camp,2.0,heli
2005-01-04,AS-350BA,Air Dynasty Heli Service,thhose vdc ramechhap,3.0,heli
2005-06-02,MI-17,Shree Airlines,everest base camp,,heli
2006-05-07,MI-17 MTV1,Heli Hansa Service,dhawalagiri base camp,0.0,heli
2006-08-08,MI-17,Karnali Air,ti airport ktm,0.0,heli
2006-09-03,AS-350BA,Air Dynasty Heli Service,dhawalagiri base camp,0.0,heli
2006-09-23,MI-17,Shree Airlines,ghunsa taplejung,24.0,heli
2006-11-23,MI-17,Simrik Airlines,raralihi jumla,0.0,heli
2008-06-29,AS-350,Fishtail Air,annapurna base camp,0.0,heli
2009-11-15,MI-8,Manang Air,rudikot humla district,1.0,heli
2010-11-07,AS 350B3,Fishtail Air,amadablam mountain,2.0,heli
2011-11-29,AS 350B,Fishtail Air,solukhumbu,0.0,heli
2013-06-19,AS 350B3,Fishtail Air,simikot muchu,1.0,heli
2014-08-03,AS 350B3,Fishtail Air,sindhupalchok,1.0,heli
2015-06-02,AS 350B3,Mountain Helicopter,yamuna danda,4.0,heli
2015-06-22,AS 350B3e,Simrik Air,samdo gorkha,0.0,heli
2015-05-12,nan,US Marine Corps,charikot,13.0,heli
2016-03-17,AS 350B3,Fishtail Air,langtang,0.0,heli
2016-08-08,AS 350B3,Fishtail Air,betani nuwakot,7.0,heli
2019-02-27,AS 350,Air Dynasty,taplejung,7.0,heli
2023-07-11,-,Manang Air,solukhumbu solududhkunda municipality,6.0,heli
2024-08-07,nan,Air Dynasty,surya chaur7 shıvapuri nuwakot,5.0,heli
